Code,Site ID,Site Name,Scene Name,Scene Date
120400010070-01,120400010070,['Webbers Falls Reservoir'],LT50270352009200PAC01,2009/07/19
120400010070-02,120400010070,['Webbers Falls Reservoir'],LT50270352008294PAC01,2008/10/20
120400010070-03,120400010070,['Webbers Falls Reservoir'],LT50260352006249PAC01,2006/09/06
120400010070-04,120400010070,['Webbers Falls Reservoir'],LT50260362006249PAC01,2006/09/06
120400010070-05,120400010070,['Webbers Falls Reservoir'],LT50270352006032PAC01,2006/02/01
120400010070-06,120400010070,['Webbers Falls Reservoir'],LT50270352004187PAC01,2004/07/05
120400010070-07,120400010070,['Webbers Falls Reservoir'],LT50260352004004PAC02,2004/01/04
120400010070-08,120400010070,['Webbers Falls Reservoir'],LT50260362004004PAC02,2004/01/04
120400010070-09,120400010070,['Webbers Falls Reservoir'],LT50270352003280PAC02,2003/10/07
120400010070-10,120400010070,['Webbers Falls Reservoir'],LE70270352011230EDC00,2011/08/18
120400010070-11,120400010070,['Webbers Falls Reservoir'],LE70270352011166EDC00,2011/06/15
120400010070-12,120400010070,['Webbers Falls Reservoir'],LE70270352011054EDC00,2011/02/23
120400010070-13,120400010070,['Webbers Falls Reservoir'],LE70260352009201EDC00,2009/07/20
120400010070-14,120400010070,['Webbers Falls Reservoir'],LE70260352008295EDC00,2008/10/21
120400010070-15,120400010070,['Webbers Falls Reservoir'],LE70260352006129EDC00,2006/05/09
120400010070-16,120400010070,['Webbers Falls Reservoir'],LE70260352004188EDC01,2004/07/06
120400010130-01,120400010130,['Greenleaf Lake'],LT50260362006249PAC01,2006/09/06
120400010130-02,120400010130,['Greenleaf Lake'],LT50260352006249PAC01,2006/09/06
120400010130-03,120400010130,['Greenleaf Lake'],LT50270352006128PAC01,2006/05/08
120400010130-04,120400010130,['Greenleaf Lake'],LT50270352006032PAC01,2006/02/01
120400010130-05,120400010130,['Greenleaf Lake'],LT50270352003280PAC02,2003/10/07
120400010130-06,120400010130,['Greenleaf Lake'],LE70260352011319EDC00,2011/11/15
120400010130-07,120400010130,['Greenleaf Lake'],LE70260352006129EDC00,2006/05/09
120400010130-08,120400010130,['Greenleaf Lake'],LE70260352004188EDC01,2004/07/06
120410010190-01,120410010190,['Bixhoma Lake'],LT50260352006185PAC01,2006/07/04
120410010190-02,120410010190,['Bixhoma Lake'],LT50270352006096PAC01,2006/04/06
120410010190-03,120410010190,['Bixhoma Lake'],LT50270352005285PAC01,2005/10/12
120410010190-04,120410010190,['Bixhoma Lake'],LT50260352005278PAC01,2005/10/05
120410010190-05,120410010190,['Bixhoma Lake'],LT50270352002197LGS01,2002/07/16
120410010190-06,120410010190,['Bixhoma Lake'],LT50270352001290LGS01,2001/10/17
120410010190-07,120410010190,['Bixhoma Lake'],LE70260352002198EDC00,2002/07/17
120410010190-08,120410010190,['Bixhoma Lake'],LE70260352001291EDC00,2001/10/18
120410010190-09,120410010190,['Bixhoma Lake'],LE70260352005286EDC00,2005/10/13
120410010190-10,120410010190,['Bixhoma Lake'],LE70260352004076EDC03,2004/03/16
120410010190-11,120410010190,['Bixhoma Lake'],LE70270352003352EDC01,2003/12/18
120420010250-01,120420010250,['Shell Lake'],LT50270352009056PAC01,2009/02/25
120420010250-02,120420010250,['Shell Lake'],LE70270352003336EDC01,2003/12/02
120420020130-01,120420020130,['Lake Sahoma'],LE70270352003336EDC01,2003/12/02
120420020300-01,120420020300,['Heyburn Lake'],LT50270352008038EDC00,2008/02/07
120420020300-02,120420020300,['Heyburn Lake'],LT50270352005109PAC01,2005/04/19
120420020300-03,120420020300,['Heyburn Lake'],LE70270352011198EDC00,2011/07/17
120420020300-04,120420020300,['Heyburn Lake'],LE70270352010227EDC00,2010/08/15
120420020300-05,120420020300,['Heyburn Lake'],LE70270352009336EDC00,2009/12/02
120420020300-06,120420020300,['Heyburn Lake'],LE70270352008190EDC00,2008/07/08
120420020300-07,120420020300,['Heyburn Lake'],LE70270352004291EDC01,2004/10/17
121300020190-01,121300020190,['Waxhoma Lake'],LT50260352005278PAC01,2005/10/05
121300020190-02,121300020190,['Waxhoma Lake'],LT50280342005276PAC01,2005/10/03
121300020190-03,121300020190,['Waxhoma Lake'],LT50270352004075PAC02,2004/03/15
121300020190-04,121300020190,['Waxhoma Lake'],LT50270342004075PAC02,2004/03/15
121300020190-05,121300020190,['Waxhoma Lake'],LT50280342003351PAC02,2003/12/17
121300020190-06,121300020190,['Waxhoma Lake'],LT50270342003264PAC02,2003/09/21
121300020190-07,121300020190,['Waxhoma Lake'],LT50270352003264PAC02,2003/09/21
121300030040-01,121300030040,['Birch Lake'],LT50270352011142PAC01,2011/05/22
121300030040-02,121300030040,['Birch Lake'],LT50270342011142PAC01,2011/05/22
121300030040-03,121300030040,['Birch Lake'],LT50270352010347EDC00,2010/12/13
121300030040-04,121300030040,['Birch Lake'],LT50270342010347EDC00,2010/12/13
121300030040-05,121300030040,['Birch Lake'],LT50280342009207PAC01,2009/07/26
121300030040-06,121300030040,['Birch Lake'],LT50270342008294PAC01,2008/10/20
121300030040-07,121300030040,['Birch Lake'],LT50270352008294PAC01,2008/10/20
121300030040-08,121300030040,['Birch Lake'],LT50280342007234PAC01,2007/08/22
121300030040-09,121300030040,['Birch Lake'],LT50260352007140PAC01,2007/05/20
121300030040-10,121300030040,['Birch Lake'],LT50270352007051PAC01,2007/02/20
121300030040-11,121300030040,['Birch Lake'],LT50270342007051PAC01,2007/02/20
121300030040-12,121300030040,['Birch Lake'],LT50280342004354PAC01,2004/12/19
121300030040-13,121300030040,['Birch Lake'],LT50280342003159LGS01,2003/06/08
121300030040-14,121300030040,['Birch Lake'],LE70270352009208EDC00,2009/07/27
121300030040-15,121300030040,['Birch Lake'],LE70270352004355EDC00,2004/12/20
121300030230-01,121300030230,['Lake Pawhuska'],LT50280342008205PAC01,2008/07/23
121300030230-02,121300030230,['Lake Pawhuska'],LT50280342008045EDC00,2008/02/14
121300030230-03,121300030230,['Lake Pawhuska'],LT50270342005125PAC01,2005/05/05
121300030230-04,121300030230,['Lake Pawhuska'],LT50270352005125PAC01,2005/05/05
121300030230-05,121300030230,['Lake Pawhuska'],LT50270342004299PAC01,2004/10/25
121300030230-06,121300030230,['Lake Pawhuska'],LT50270352004299PAC01,2004/10/25
121300030230-07,121300030230,['Lake Pawhuska'],LT50270352003168LGS01,2003/06/17
121300030230-08,121300030230,['Lake Pawhuska'],LT50270342003168LGS01,2003/06/17
121300030230-09,121300030230,['Lake Pawhuska'],LT50270352003104LGS01,2003/04/14
121300030230-10,121300030230,['Lake Pawhuska'],LT50270342003104LGS01,2003/04/14
121300030300-01,121300030300,['Bluestem Lake'],LT50270352009120PAC01,2009/04/30
121300030300-02,121300030300,['Bluestem Lake'],LT50270342009120PAC01,2009/04/30
121300030300-03,121300030300,['Bluestem Lake'],LT50270352009056PAC01,2009/02/25
121300030300-04,121300030300,['Bluestem Lake'],LT50270342009056PAC01,2009/02/25
121300030300-05,121300030300,['Bluestem Lake'],LT50270352006192PAC01,2006/07/11
121300030300-06,121300030300,['Bluestem Lake'],LT50270342006192PAC01,2006/07/11
121300030300-07,121300030300,['Bluestem Lake'],LT50280342005276PAC01,2005/10/03
121300030300-08,121300030300,['Bluestem Lake'],LT50280342004082PAC02,2004/03/22
121300030300-09,121300030300,['Bluestem Lake'],LT50280352004082PAC02,2004/03/22
121300030300-10,121300030300,['Bluestem Lake'],LT50280352003271PAC02,2003/09/28
121300030300-11,121300030300,['Bluestem Lake'],LT50280342003271PAC02,2003/09/28
121300030300-12,121300030300,['Bluestem Lake'],LT50280342002028LGS01,2002/01/28
121300030300-13,121300030300,['Bluestem Lake'],LE70270342002029EDC00,2002/01/29
121300030300-14,121300030300,['Bluestem Lake'],LE70270352002029EDC00,2002/01/29
121300030300-15,121300030300,['Bluestem Lake'],LE70270342013315EDC00,2013/11/11
121300030300-16,121300030300,['Bluestem Lake'],LE70270352013315EDC00,2013/11/11
121300030300-17,121300030300,['Bluestem Lake'],LE70270342012025EDC00,2012/01/25
121300030300-18,121300030300,['Bluestem Lake'],LE70270352012025EDC00,2012/01/25
121300030300-19,121300030300,['Bluestem Lake'],LE70280342011349EDC00,2011/12/15
121300030300-20,121300030300,['Bluestem Lake'],LE70270342009208EDC00,2009/07/27
121300030300-21,121300030300,['Bluestem Lake'],LE70270352009208EDC00,2009/07/27
121300030300-22,121300030300,['Bluestem Lake'],LE70280342009055EDC00,2009/02/24
121300030300-23,121300030300,['Bluestem Lake'],LE70270342004083EDC02,2004/03/23
121300030300-24,121300030300,['Bluestem Lake'],LE70270352004083EDC02,2004/03/23
121300030300-25,121300030300,['Bluestem Lake'],LE70270342003272EDC01,2003/09/29
121300030300-26,121300030300,['Bluestem Lake'],LE70270352003272EDC01,2003/09/29
121300040080-01,121300040080,['Skiatook Lake'],LT50260352009209PAC02,2009/07/28
121300040080-02,121300040080,['Skiatook Lake'],LT50280342009207PAC01,2009/07/26
121300040080-03,121300040080,['Skiatook Lake'],LT50270352008294PAC01,2008/10/20
121300040080-04,121300040080,['Skiatook Lake'],LT50270342008294PAC01,2008/10/20
121300040080-05,121300040080,['Skiatook Lake'],LT50280342007234PAC01,2007/08/22
121300040080-06,121300040080,['Skiatook Lake'],LT50260352007140PAC01,2007/05/20
121300040080-07,121300040080,['Skiatook Lake'],LT50270342007051PAC01,2007/02/20
121300040080-08,121300040080,['Skiatook Lake'],LT50270352007051PAC01,2007/02/20
121300040080-09,121300040080,['Skiatook Lake'],LT50260352004356PAC01,2004/12/21
121300040080-10,121300040080,['Skiatook Lake'],LT50280342004354PAC01,2004/12/19
121300040080-11,121300040080,['Skiatook Lake'],LT50260352003161LGS01,2003/06/10
121300040080-12,121300040080,['Skiatook Lake'],LT50280342003159LGS01,2003/06/08
121300040080-13,121300040080,['Skiatook Lake'],LE70270352012073EDC00,2012/03/13
121300040080-14,121300040080,['Skiatook Lake'],LE70270352009208EDC00,2009/07/27
121300040080-15,121300040080,['Skiatook Lake'],LE70270352004355EDC00,2004/12/20
121300040330-01,121300040330,['Hominy Lake'],LT50270352010123PAC01,2010/05/03
121300040330-02,121300040330,['Hominy Lake'],LT50270352004075PAC02,2004/03/15
121300040330-03,121300040330,['Hominy Lake'],LT50270352003264PAC02,2003/09/21
121300040330-04,121300040330,['Hominy Lake'],LT50270352002021LGS01,2002/01/21
121400010060-01,121400010060,[],LT50270342010123PAC01,2010/05/03
121400010060-02,121400010060,[],LT50270352010123PAC01,2010/05/03
121400010060-03,121400010060,[],LT50270352004075PAC02,2004/03/15
121400010060-04,121400010060,[],LT50270342004075PAC02,2004/03/15
121400010060-05,121400010060,[],LT50280342003351PAC02,2003/12/17
121400010060-06,121400010060,[],LT50270342003264PAC02,2003/09/21
121400010060-07,121400010060,[],LT50270352003264PAC02,2003/09/21
121400010060-08,121400010060,[],LT50280342002204LGS01,2002/07/23
121400010060-09,121400010060,[],LT50270342002021LGS01,2002/01/21
121400010060-10,121400010060,[],LT50270352002021LGS01,2002/01/21
121400020090-01,121400020090,['Hudson Lake'],LT50260342009209PAC02,2009/07/28
121400020090-02,121400020090,['Hudson Lake'],LT50260352009209PAC02,2009/07/28
121400020090-03,121400020090,['Hudson Lake'],LT50270342009120PAC01,2009/04/30
121400020090-04,121400020090,['Hudson Lake'],LT50270352009120PAC01,2009/04/30
121400020090-05,121400020090,['Hudson Lake'],LT50270352009056PAC01,2009/02/25
121400020090-06,121400020090,['Hudson Lake'],LT50270342009056PAC01,2009/02/25
121400020090-07,121400020090,['Hudson Lake'],LT50260352005278PAC01,2005/10/05
121400020090-08,121400020090,['Hudson Lake'],LT50260342005278PAC01,2005/10/05
121400020090-09,121400020090,['Hudson Lake'],LT50260352003273PAC02,2003/09/30
121400020090-10,121400020090,['Hudson Lake'],LT50260342003273PAC02,2003/09/30
121400020090-11,121400020090,['Hudson Lake'],LE70270352012201EDC00,2012/07/19
121400020090-12,121400020090,['Hudson Lake'],LE70270352009208EDC00,2009/07/27
121400020090-13,121400020090,['Hudson Lake'],LE70260352008295EDC00,2008/10/21
121400020090-14,121400020090,['Hudson Lake'],LE70260352004172EDC01,2004/06/20
121400020090-15,121400020090,['Hudson Lake'],LE70270342004083EDC02,2004/03/23
121400020090-16,121400020090,['Hudson Lake'],LE70270352004083EDC02,2004/03/23
121400020090-17,121400020090,['Hudson Lake'],LE70270352003272EDC01,2003/09/29
121400030020-01,121400030020,['Hulah Lake'],LT50280342008205PAC01,2008/07/23
121400030020-02,121400030020,['Hulah Lake'],LT50280342008045EDC00,2008/02/14
121400030020-03,121400030020,['Hulah Lake'],LT50270342005205PAC01,2005/07/24
121400030020-04,121400030020,['Hulah Lake'],LT50270352005205PAC01,2005/07/24
121400030020-05,121400030020,['Hulah Lake'],LT50270342004299PAC01,2004/10/25
121400030020-06,121400030020,['Hulah Lake'],LT50270352004299PAC01,2004/10/25
121400030020-07,121400030020,['Hulah Lake'],LT50270342003168LGS01,2003/06/17
121400030020-08,121400030020,['Hulah Lake'],LT50270352003168LGS01,2003/06/17
121400050020-01,121400050020,['Copan Lake'],LT50270352005205PAC01,2005/07/24
121400050020-02,121400050020,['Copan Lake'],LT50270342005205PAC01,2005/07/24
121400050020-03,121400050020,['Copan Lake'],LT50270352004299PAC01,2004/10/25
121400050020-04,121400050020,['Copan Lake'],LT50270342004299PAC01,2004/10/25
121400050020-05,121400050020,['Copan Lake'],LT50270342003168LGS01,2003/06/17
121400050020-06,121400050020,['Copan Lake'],LT50270352003168LGS01,2003/06/17
121500020280-01,121500020280,['Fin & Feather Lake'],LT50270362011222PAC01,2011/08/10
121500020280-02,121500020280,['Fin & Feather Lake'],LT50270362011142PAC01,2011/05/22
121500020280-03,121500020280,['Fin & Feather Lake'],LT50270362010347EDC00,2010/12/13
121500020280-04,121500020280,['Fin & Feather Lake'],LE70260362011143EDC00,2011/05/23
121500020280-05,121500020280,['Fin & Feather Lake'],LE70260362010348EDC00,2010/12/14
121500040020-01,121500040020,['Claremore'],LT50260352010228PAC01,2010/08/16
121500040020-02,121500040020,['Claremore'],LT50270352002181LGS01,2002/06/30
121500040020-03,121500040020,['Claremore'],LT50270352001274LGS01,2001/10/01
121500040020-04,121500040020,['Claremore'],LE70260352002182EDC00,2002/07/01
121500040020-05,121500040020,['Claremore'],LE70260352001275EDC00,2001/10/02
121500040020-06,121500040020,['Claremore'],LE70270352009336EDC00,2009/12/02
121500040020-07,121500040020,['Claremore'],LE70260352006241EDC00,2006/08/29
121500040020-08,121500040020,['Claremore'],LE70260352005334EDC00,2005/11/30
121500040020-09,121500040020,['Claremore'],LE70260352004060EDC01,2004/02/29
121500040020-10,121500040020,['Claremore'],LE70270352003336EDC01,2003/12/02
121510010020-01,121510010020,['Oolagah Lake'],LT50270352008150PAC02,2008/05/29
121510010020-02,121510010020,['Oolagah Lake'],LT50270342008150PAC02,2008/05/29
121510010020-03,121510010020,['Oolagah Lake'],LT50270342008038EDC00,2008/02/07
121510010020-04,121510010020,['Oolagah Lake'],LT50270352008038EDC00,2008/02/07
121510010020-05,121510010020,['Oolagah Lake'],LT50260342005198PAC01,2005/07/17
121510010020-06,121510010020,['Oolagah Lake'],LT50260352005198PAC01,2005/07/17
121510010020-07,121510010020,['Oolagah Lake'],LT50270342005109PAC01,2005/04/19
121510010020-08,121510010020,['Oolagah Lake'],LT50270352005109PAC01,2005/04/19
121510010020-09,121510010020,['Oolagah Lake'],LT50260352004292PAC01,2004/10/18
121510010020-10,121510010020,['Oolagah Lake'],LT50260342004292PAC01,2004/10/18
121510010020-11,121510010020,['Oolagah Lake'],LE70270342003112EDC00,2003/04/22
121510010020-12,121510010020,['Oolagah Lake'],LE70270352003112EDC00,2003/04/22
121510010020-13,121510010020,['Oolagah Lake'],LE70270352012057EDC00,2012/02/26
121510010020-14,121510010020,['Oolagah Lake'],LE70270342012057EDC00,2012/02/26
121510010020-15,121510010020,['Oolagah Lake'],LE70260352005110EDC00,2005/04/20
121510010020-16,121510010020,['Oolagah Lake'],LE70270342004291EDC01,2004/10/17
121510010020-17,121510010020,['Oolagah Lake'],LE70270352004291EDC01,2004/10/17
121510010020-18,121510010020,['Oolagah Lake'],LE70260352003201EDC01,2003/07/20
121600010050-01,121600010050,['Fort Gibson Lake'],LT50260352007204PAC01,2007/07/23
121600010050-02,121600010050,['Fort Gibson Lake'],LT50270352007051PAC01,2007/02/20
121600010050-03,121600010050,['Fort Gibson Lake'],LT50270352006288PAC01,2006/10/15
121600010050-04,121600010050,['Fort Gibson Lake'],LT50260352004228PAC01,2004/08/15
121600010050-05,121600010050,['Fort Gibson Lake'],LT50260352004132PAC02,2004/05/11
